Starting experiment at 05/31/2024 11:38:47
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size left, Pupil Size right
11:39:21, Room_121, NO_ITEMS, , , , 4.675644  4.41832
11:39:21, Room_121, NO_ITEMS, , , , 4.60582  4.519455
11:39:21, Room_121, NO_ITEMS, , , , 4.668472  4.181381
11:39:21, Room_121, NO_ITEMS, , , , 4.708893  4.21759
11:39:21, Room_121, NO_ITEMS, , , , 4.650162  4.444443
11:39:21, Room_121, NO_ITEMS, , , , 4.73616  4.397186
11:39:21, Room_121, NO_ITEMS, , , , 4.617355  4.431427
11:39:21, Room_121, NO_ITEMS, , , , 4.622147  4.323486
11:39:21, Room_121, NO_ITEMS, , , , 4.63652  4.493362
11:39:21, Room_121, NO_ITEMS, , , , 4.553665  4.517761
11:39:21, Room_121, NO_ITEMS, , , , 4.676727  4.511383
11:39:21, Room_121, NO_ITEMS, , , , 4.658279  4.462982
11:39:21, Room_121, NO_ITEMS, , , , 4.65094  4.521973
11:39:21, Room_121, NO_ITEMS, , , , 4.696365  4.430466
11:39:21, Room_121, NO_ITEMS, , , , 4.640778  4.330902
11:39:21, Room_121, NO_ITEMS, , , , 4.738144  4.508667
11:39:21, Room_121, NO_ITEMS, , , , 4.682266  4.333267
11:39:21, Room_121, NO_ITEMS, , , , 4.774841  4.196121
11:39:21, Room_121, NO_ITEMS, , , , 4.656982  4.387726
11:39:21, Room_121, NO_ITEMS, , , , 4.656815  4.395706
11:39:21, Room_121, NO_ITEMS, , , , 4.442413  4.439987
11:39:21, Room_121, NO_ITEMS, , , , 4.707962  4.513794
11:39:21, Room_121, NO_ITEMS, , , , 4.599274  4.550949
11:39:21, Room_121, NO_ITEMS, , , , 4.749939  4.568863
11:39:21, Room_121, NO_ITEMS, , , , 4.584763  4.455093
11:39:21, Room_121, NO_ITEMS, , , , 4.625793  4.542572
11:39:21, Room_121, NO_ITEMS, , , , 4.562744  4.441956
11:39:21, Room_121, NO_ITEMS, , , , 4.587006  4.471451
11:39:21, Room_121, NO_ITEMS, , , , 4.586914  4.45137
11:39:21, Room_121, NO_ITEMS, , , , 4.638107  4.482925
11:39:21, Room_121, NO_ITEMS, , , , 4.637604  4.439758
11:39:21, Room_121, NO_ITEMS, , , , 4.629028  4.586487
11:39:21, Room_121, NO_ITEMS, , , , 4.81488  4.556641
