Starting experiment at 05/30/2024 16:58:33
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size left, Pupil Size right
16:58:47, Room_121, NO_ITEMS, , , , 4.133377  4.280853
16:58:48, Room_121, NO_ITEMS, , , , -1  4.140991
16:58:48, Room_121, NO_ITEMS, , , , 4.284088  4.474396
16:58:48, Room_121, NO_ITEMS, , , , 4.796158  4.30217
16:58:48, Room_121, NO_ITEMS, , , , 4.078171  4.632034
16:58:48, Room_121, NO_ITEMS, , , , 4.512848  4.584518
16:58:48, Room_121, NO_ITEMS, , , , 4.846176  4.608414
16:58:48, Room_121, NO_ITEMS, , , , 4.437805  4.475403
16:58:48, Room_121, NO_ITEMS, , , , 4.259506  4.528595
16:58:48, Room_121, NO_ITEMS, , , , 5.275345  4.474075
16:58:48, Room_121, NO_ITEMS, , , , 4.539581  4.458694
16:58:48, Room_121, NO_ITEMS, , , , 4.182907  4.414246
16:58:48, Room_121, NO_ITEMS, , , , 4.188385  4.492538
16:58:48, Room_121, NO_ITEMS, , , , 4.254059  4.417313
16:58:48, Room_121, NO_ITEMS, , , , -1  4.388428
16:58:48, Room_121, NO_ITEMS, , , , 4.066284  4.131424
16:58:48, Room_121, NO_ITEMS, , , , 4.085663  4.43042
16:58:48, Room_121, NO_ITEMS, , , , 3.820847  4.47995
16:58:48, Room_121, NO_ITEMS, , , , 4.35817  4.330826
16:58:48, Room_121, NO_ITEMS, , , , 4.3461  4.287857
16:58:48, Room_121, NO_ITEMS, , , , 4.085434  4.117279
16:58:48, Room_121, NO_ITEMS, , , , 3.96962  3.89946
16:58:48, Room_121, NO_ITEMS, , , , 3.875641  3.525314
16:58:48, Room_121, NO_ITEMS, , , , 3.597778  3.886627
16:58:48, Room_121, NO_ITEMS, , , , 4.182877  3.859619
16:58:48, Room_121, NO_ITEMS, , , , 4.198456  3.558487
16:58:48, Room_121, NO_ITEMS, , , , 3.702103  3.963013
16:58:49, Room_121, NO_ITEMS, , , , 3.700928  3.759735
16:58:49, Room_121, NO_ITEMS, , , , 3.847733  3.638794
16:58:49, Room_121, NO_ITEMS, , , , 3.579559  3.764847
16:58:49, Room_121, NO_ITEMS, , , , 3.572922  3.801071
16:58:49, Room_121, NO_ITEMS, , , , 3.675293  3.359314
16:58:49, Room_121, NO_ITEMS, , , , 3.704559  3.605881
16:58:49, Room_121, NO_ITEMS, , , , 3.654907  3.631958
16:58:49, Room_121, NO_ITEMS, , , , -1  3.701187
16:58:49, Room_121, NO_ITEMS, , , , -1  3.771088
16:58:49, Room_121, NO_ITEMS, , , , 3.196442  3.821655
16:58:49, Room_121, NO_ITEMS, , , , 3.699463  3.702606
16:58:49, Room_121, NO_ITEMS, , , , 3.667267  3.798111
16:58:49, Room_121, NO_ITEMS, , , , 3.847794  3.996475
16:58:49, Room_121, NO_ITEMS, , , , 3.838226  3.762527
16:58:49, Room_121, NO_ITEMS, , , , -1  3.895432
16:58:49, Room_121, NO_ITEMS, , , , 3.803574  3.643326
16:58:49, Room_121, NO_ITEMS, , , , 3.756897  3.882156
16:58:49, Room_121, NO_ITEMS, , , , 3.74939  3.863083
16:58:49, Room_121, NO_ITEMS, , , , 3.689743  3.842407
16:58:49, Room_121, NO_ITEMS, , , , 3.624207  3.812851
16:58:49, Room_121, NO_ITEMS, , , , 3.706726  3.846237
16:58:49, Room_121, NO_ITEMS, , , , 3.732285  3.806107
16:58:49, Room_121, NO_ITEMS, , , , 3.694458  3.799088
16:58:49, Room_121, NO_ITEMS, , , , 3.765656  3.775497
16:58:49, Room_121, NO_ITEMS, , , , 3.754623  3.781204
16:58:49, Room_121, NO_ITEMS, , , , 3.768097  3.779572
16:58:49, Room_121, NO_ITEMS, , , , 3.752701  3.841049
16:58:49, Room_121, NO_ITEMS, , , , 3.755768  3.877869
16:58:49, Room_121, NO_ITEMS, , , , 3.774643  3.877197
16:58:49, Room_121, NO_ITEMS, , , , 3.766693  3.865967
16:58:50, Room_121, NO_ITEMS, , , , 3.718964  4.070007
16:58:50, Room_121, NO_ITEMS, , , , 3.878235  3.997406
16:58:50, Room_121, NO_ITEMS, , , , 3.766678  3.910156
16:58:50, Room_121, NO_ITEMS, , , , 3.815781  3.967651
16:58:50, Room_121, NO_ITEMS, , , , 3.869934  3.973541
16:58:50, Room_121, NO_ITEMS, , , , 3.913834  3.966721
16:58:50, Room_121, NO_ITEMS, , , , 3.87114  3.95874
16:58:50, Room_121, NO_ITEMS, , , , 3.840622  3.965073
16:58:50, Room_121, NO_ITEMS, , , , 3.835663  3.965164
16:58:50, Room_121, NO_ITEMS, , , , 3.835388  3.945023
16:58:50, Room_121, NO_ITEMS, , , , 3.843216  3.816116
16:58:50, Room_121, NO_ITEMS, , , , 3.938644  3.910583
16:58:50, Room_121, NO_ITEMS, , , , 3.599258  4.016617
16:58:50, Room_121, NO_ITEMS, , , , 3.971634  4.014435
16:58:50, Room_121, NO_ITEMS, , , , 3.947113  4.010117
16:58:50, Room_121, NO_ITEMS, , , , 3.934555  4.010605
16:58:50, Room_121, NO_ITEMS, , , , 3.935394  4.009827
16:58:50, Room_121, NO_ITEMS, , , , 3.936401  3.969696
16:58:50, Room_121, NO_ITEMS, , , , 3.936127  3.860123
16:58:50, Room_121, NO_ITEMS, , , , 3.963287  3.847061
16:58:50, Room_121, NO_ITEMS, , , , 3.675323  3.772476
16:58:50, Room_121, NO_ITEMS, , , , 3.599472  3.906113
16:58:50, Room_121, NO_ITEMS, , , , 3.652435  3.943756
16:58:50, Room_121, NO_ITEMS, , , , 3.535446  3.825073
16:58:50, Room_121, NO_ITEMS, , , , 3.760086  3.777649
16:58:50, Room_121, NO_ITEMS, , , , 3.758987  3.779526
16:58:50, Room_121, NO_ITEMS, , , , 3.689224  3.779221
16:58:50, Room_121, NO_ITEMS, , , , 3.713852  3.779465
16:58:50, Room_121, NO_ITEMS, , , , 3.630295  3.76709
16:58:50, Room_121, NO_ITEMS, , , , 3.524078  3.757156
16:58:50, Room_121, NO_ITEMS, , , , 3.424042  3.735931
16:58:50, Room_121, NO_ITEMS, , , , 3.357697  3.674484
16:58:50, Room_121, NO_ITEMS, , , , 3.339325  3.568466
16:58:50, Room_121, NO_ITEMS, , , , 3.481003  3.469696
16:58:50, Room_121, NO_ITEMS, , , , 3.693802  3.769608
16:58:50, Room_121, NO_ITEMS, , , , 3.568283  3.874557
16:58:50, Room_121, NO_ITEMS, , , , 3.521561  3.675446
16:58:50, Room_121, NO_ITEMS, , , , 3.653961  3.875824
16:58:50, Room_121, NO_ITEMS, , , , 3.659851  3.879257
16:58:50, Room_121, NO_ITEMS, , , , 3.661636  3.890717
16:58:50, Room_121, NO_ITEMS, , , , 3.577911  3.879776
16:58:50, Room_121, NO_ITEMS, , , , 3.65036  3.861893
16:58:50, Room_121, NO_ITEMS, , , , 3.620163  3.832047
16:58:50, Room_121, NO_ITEMS, , , , 3.620193  3.897186
16:58:50, Room_121, NO_ITEMS, , , , 3.557526  3.760422
16:58:50, Room_121, NO_ITEMS, , , , 3.694473  3.751114
16:58:50, Room_121, NO_ITEMS, , , , 3.422943  3.821167
16:58:50, Room_121, NO_ITEMS, , , , 3.489929  3.786728
16:58:51, Room_121, NO_ITEMS, , , , 3.492355  3.72908
16:58:51, Room_121, NO_ITEMS, , , , 3.559082  3.709686
16:58:51, Room_121, NO_ITEMS, , , , 3.484451  3.738297
16:58:51, Room_121, NO_ITEMS, , , , 3.463562  3.686951
16:58:51, Room_121, NO_ITEMS, , , , 3.480453  3.735382
16:58:51, Room_121, NO_ITEMS, , , , 3.407349  3.745285
16:58:51, Room_121, NO_ITEMS, , , , 3.48317  3.754562
16:58:51, Room_121, NO_ITEMS, , , , 3.369308  3.806381
16:58:51, Room_121, NO_ITEMS, , , , 3.499344  3.714584
16:58:51, Room_121, NO_ITEMS, , , , 3.308701  3.690872
16:58:51, Room_121, NO_ITEMS, , , , 3.378876  3.678619
16:58:51, Room_121, NO_ITEMS, , , , 3.369507  3.685516
16:58:51, Room_121, NO_ITEMS, , , , 3.380264  3.739883
16:58:51, Room_121, NO_ITEMS, , , , 3.380829  3.759659
16:58:51, Room_121, NO_ITEMS, , , , 3.417603  3.80043
16:58:51, Room_121, NO_ITEMS, , , , 3.451294  3.802216
16:58:51, Room_121, NO_ITEMS, , , , 3.489029  3.788757
16:58:51, Room_121, NO_ITEMS, , , , 3.493668  3.78595
16:58:51, Room_121, NO_ITEMS, , , , 3.489151  3.779312
16:58:51, Room_121, NO_ITEMS, , , , 3.48999  3.772202
16:58:51, Room_121, NO_ITEMS, , , , 3.490891  3.76918
16:58:51, Room_121, NO_ITEMS, , , , 3.500809  3.826263
16:58:51, Room_121, NO_ITEMS, , , , 3.517593  3.828552
16:58:51, Room_121, NO_ITEMS, , , , 3.54068  3.824249
16:58:51, Room_121, NO_ITEMS, , , , 3.597763  3.827606
16:58:51, Room_121, NO_ITEMS, , , , 3.602783  3.827301
16:58:51, Room_121, NO_ITEMS, , , , 3.60257  3.833588
16:58:51, Room_121, NO_ITEMS, , , , 3.598785  3.869568
