subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TargetObject,TarPos_x,TarPos_z,Start_SubPos_x,Start_SubPos_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23046,4.885692,False,19.23184,4.867696,0.2809042,-0.05206254,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23046,4.885692,True,19.28168,4.966186,0.3260275,-0.04901606,No response,N/A,
sabtest,1,Room_2,stay,no,A,1,left,A,B,None,29.23046,4.885692,29.23046,4.885692,True,29.21755,4.955701,0.3320429,-0.05318469,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23184,4.867696,False,19.2283,4.844955,0,0,No response,N/A,
sabtest,1,Room_2,stay,no,A,1,left,B,B,None,31.1209,5.040457,31.1209,5.040457,False,31.12228,5.022461,0,0,No response,N/A,
sabtest,2,Room_3,stay,yes,A,1,left,B,A,bomb,41.1209,5.040457,41.1209,5.040457,False,41.12228,5.022461,0,0,No response,N/A,
sabtest,3,Room_4,stay,no,A,1,left,A,B,None,49.23045,4.885691,49.23235,4.855367,False,49.23235,4.855367,0,0,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23046,4.885692,False,19.23184,4.867696,0,0,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23046,4.885692,False,20.67184,4.867696,0,0,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23235,4.855368,True,19.40482,4.529999,0,0,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23235,4.855368,True,19.37603,4.529999,0,0,No response,N/A,
sabtest,1,Room_2,stay,no,A,1,left,B,B,None,31.1209,5.040457,31.1209,5.040457,True,31.12228,4.529999,0,0,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23046,4.885692,17.21948,True,19.28654,5.038102,0,0,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23046,4.885692,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.17235,4.855368,4.554064,True,19.71235,4.855368,0,0,No response,N/A,
sabtest,1,Room_2,stay,no,A,1,left,B,B,None,31.1209,5.040457,30.82279,4.529999,24.66236,True,30.94279,5.129999,0,0,No response,N/A,
sabtest,2,Room_3,stay,yes,A,1,left,B,A,bomb,41.1209,5.040457,41.1209,5.040457,6.656343,True,41.42228,5.022461,0,0,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23235,4.855368,6.902373,True,19.17235,4.855368,0,0,No response,N/A,
