Starting Experiment now at 3/12/2024 10:47:29 AM

Time: 3/12/2024 10:47:35 AM   |     Distance: 4.277308    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.1, 1.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.426865 5.775894
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.235147    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.4, 1.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.539825 5.620255
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.204686    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.6, 1.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.437393 5.89151
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.200475    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.7, 1.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.317261 5.883255
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.204581    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.9, 1.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.230865 5.927734
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.534873    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (98.7, 0.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.439255 5.256027
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.469819    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (98.8, 0.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.355713 5.693024
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.444049    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (98.9, 0.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.367249 5.842438
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.413966    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.0, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.380951 5.645126
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.413699    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (98.9, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.380371 5.751938
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.389886    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.0, 0.7, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.434555 5.77861
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.399158    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.0, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.387512 5.891418
Time: 3/12/2024 10:47:35 AM   |     Distance: 4.366766    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.2, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.34552 5.892563
Time: 3/12/2024 10:47:35 AM   |     Distance: 3.414524    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.0, 0.1, 2.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.24733 5.634842
Time: 3/12/2024 10:47:35 AM   |     Distance: 2.942016    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.1, 0.1, 2.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.237 5.469818
Time: 3/12/2024 10:47:35 AM   |     Distance: 2.495961    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.3, 0.1, 1.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.370438 4.959717
