Starting Experiment now at 3/8/2024 5:03:18 PM

Time: 3/8/2024 5:03:43 PM   |     Distance: 1.712159    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.9, 0.1, 29.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.88353 4.973343
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.712344    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.9, 0.1, 29.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.798264 4.968582
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.707225    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.9, 0.1, 29.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.611221 4.947235
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.708018    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.9, 0.1, 29.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.849289 4.954422
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.699675    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.9, 0.1, 29.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.626816 4.94252
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.697886    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.9, 0.1, 29.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.60022 4.984848
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.71598    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.8, 0.1, 28.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.759506 4.952408
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.717064    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.7, 0.1, 28.8)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.757599 4.967941
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.719143    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.7, 0.1, 28.8)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.71698 4.888199
Time: 3/8/2024 5:03:43 PM   |     Distance: 1.718274    |   Participant Coords: (80.4, 1.7, 29.3)   |   Item Coord: (80.7, 0.1, 28.8)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.665421 4.873077
