Starting Experiment now at 3/8/2024 1:38:27 PM

Time: 3/8/2024 1:39:54 PM   |     Distance: 4.737423    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (21.6, 0.1, 4.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.687134 3.75174
Time: 3/8/2024 1:39:54 PM   |     Distance: 5.095974    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (20.9, 0.1, 4.5)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.866898 3.550308
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.864119    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (20.4, 0.1, 4.7)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.040283 3.62291
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.395523    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.7, 0.1, 5.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.038803 3.550873
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.351652    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.4, 0.1, 5.4)   |  Item: Floor 1  |   Pupil Size (Left, right): -1 3.611755
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.229332    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.3, 0.1, 5.5)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.105179 3.671158
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.197786    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.3, 0.1, 5.6)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.132553 3.660614
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.211422    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.3, 0.1, 5.6)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.970612 3.641083
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.220008    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.2, 0.1, 5.6)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.989044 3.722946
Time: 3/8/2024 1:39:54 PM   |     Distance: 4.222089    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (19.1, 0.1, 5.6)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.992371 3.699921
