Starting Experiment now at 3/8/2024 10:29:11 AM

Time: 3/8/2024 10:30:06 AM   |     Distance: 20.16673    |   Participant Coords: (50.7, 17.0, 76.7)   |   Item Coord: (38.8, 2.3, 69.8)   |  Item: w3  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 21.4159    |   Participant Coords: (49.7, 17.1, 76.1)   |   Item Coord: (37.3, 1.2, 68.7)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 19.99187    |   Participant Coords: (48.6, 17.1, 75.5)   |   Item Coord: (37.2, 2.2, 68.6)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 22.58277    |   Participant Coords: (47.7, 17.0, 74.9)   |   Item Coord: (35.1, 0.1, 67.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 22.36851    |   Participant Coords: (46.8, 17.0, 74.3)   |   Item Coord: (34.5, 0.0, 66.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 22.14181    |   Participant Coords: (46.1, 17.0, 73.9)   |   Item Coord: (34.1, 0.0, 66.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 21.92267    |   Participant Coords: (45.3, 16.9, 73.3)   |   Item Coord: (33.6, 0.0, 65.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 21.7434    |   Participant Coords: (44.5, 16.9, 72.8)   |   Item Coord: (33.1, 0.0, 65.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 21.0378    |   Participant Coords: (43.7, 17.0, 72.2)   |   Item Coord: (32.9, 0.5, 64.9)   |  Item: w2  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 19.9398    |   Participant Coords: (43.0, 17.1, 71.7)   |   Item Coord: (32.8, 1.4, 64.7)   |  Item: w2  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 18.88202    |   Participant Coords: (42.3, 17.3, 71.2)   |   Item Coord: (32.8, 2.3, 64.6)   |  Item: w2  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 18.82613    |   Participant Coords: (41.8, 17.4, 70.7)   |   Item Coord: (32.4, 2.5, 64.2)   |  Item: w4  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 21.85339    |   Participant Coords: (41.4, 17.5, 70.4)   |   Item Coord: (30.6, 0.1, 62.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 21.78444    |   Participant Coords: (41.1, 17.5, 70.2)   |   Item Coord: (30.4, 0.0, 62.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 21.62844    |   Participant Coords: (40.9, 17.4, 70.0)   |   Item Coord: (30.4, 0.0, 62.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 21.40372    |   Participant Coords: (40.7, 17.3, 69.9)   |   Item Coord: (30.4, 0.0, 62.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 21.11802    |   Participant Coords: (40.7, 17.2, 69.9)   |   Item Coord: (30.6, 0.0, 62.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 20.86307    |   Participant Coords: (40.8, 17.1, 70.0)   |   Item Coord: (30.9, 0.0, 63.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 17.63949    |   Participant Coords: (41.0, 16.9, 70.3)   |   Item Coord: (32.8, 2.5, 64.4)   |  Item: w2  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 19.1182    |   Participant Coords: (41.3, 16.9, 70.5)   |   Item Coord: (32.4, 1.1, 64.3)   |  Item: w4  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 19.24242    |   Participant Coords: (41.7, 16.9, 70.8)   |   Item Coord: (32.9, 0.9, 64.6)   |  Item: w2  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 20.10449    |   Participant Coords: (42.1, 16.9, 71.1)   |   Item Coord: (33.0, 0.1, 64.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 20.07201    |   Participant Coords: (42.7, 16.9, 71.5)   |   Item Coord: (33.7, 0.0, 65.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 20.12548    |   Participant Coords: (43.4, 17.1, 72.0)   |   Item Coord: (34.4, 0.0, 66.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 20.14618    |   Participant Coords: (44.1, 17.2, 72.4)   |   Item Coord: (35.2, 0.0, 66.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 17.35883    |   Participant Coords: (44.8, 17.3, 72.9)   |   Item Coord: (37.2, 2.5, 68.2)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 19.11548    |   Participant Coords: (45.6, 17.4, 73.4)   |   Item Coord: (37.2, 1.0, 68.4)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 20.28178    |   Participant Coords: (46.5, 17.6, 74.0)   |   Item Coord: (37.6, 0.1, 68.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 19.33817    |   Participant Coords: (47.4, 17.8, 74.5)   |   Item Coord: (39.0, 1.0, 69.9)   |  Item: w3  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 20.70154    |   Participant Coords: (48.4, 18.1, 75.1)   |   Item Coord: (39.4, 0.1, 70.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:07 AM   |     Distance: 20.98352    |   Participant Coords: (49.5, 18.3, 75.7)   |   Item Coord: (40.3, 0.0, 71.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
