Starting Experiment now at 3/8/2024 4:48:13 PM

Time: 3/8/2024 4:48:25 PM   |     Distance: 9.917519    |   Participant Coords: (102.0, 1.7, -10.0)   |   Item Coord: (110.7, 0.1, -5.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.582031 6.073212
Time: 3/8/2024 4:48:25 PM   |     Distance: 9.785813    |   Participant Coords: (102.0, 1.7, -10.0)   |   Item Coord: (110.6, 0.1, -5.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.570801 5.987671
Time: 3/8/2024 4:48:25 PM   |     Distance: 10.23049    |   Participant Coords: (102.0, 1.7, -10.0)   |   Item Coord: (111.0, 0.1, -5.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.57515 6.11644
Time: 3/8/2024 4:48:25 PM   |     Distance: 9.986001    |   Participant Coords: (102.0, 1.7, -10.0)   |   Item Coord: (110.8, 0.1, -5.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.58403 6.106827
Time: 3/8/2024 4:48:25 PM   |     Distance: 10.93689    |   Participant Coords: (101.9, 1.7, -10.0)   |   Item Coord: (111.9, 0.1, -5.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.586227 6.098969
Time: 3/8/2024 4:48:25 PM   |     Distance: 10.52273    |   Participant Coords: (102.0, 1.7, -10.0)   |   Item Coord: (111.5, 0.1, -5.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.588409 6.103745
Time: 3/8/2024 4:48:25 PM   |     Distance: 10.34626    |   Participant Coords: (102.0, 1.7, -10.0)   |   Item Coord: (111.3, 0.1, -5.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.609177 6.111694
Time: 3/8/2024 4:48:25 PM   |     Distance: 10.22384    |   Participant Coords: (102.0, 1.7, -10.0)   |   Item Coord: (111.2, 0.1, -5.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.605469 6.115875
Time: 3/8/2024 4:48:25 PM   |     Distance: 9.871909    |   Participant Coords: (102.0, 1.7, -10.0)   |   Item Coord: (110.9, 0.1, -6.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.61203 6.145309
Time: 3/8/2024 4:48:26 PM   |     Distance: 5.463916    |   Participant Coords: (102.0, 1.7, -10.0)   |   Item Coord: (106.5, 0.0, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.456039 6.062378
Time: 3/8/2024 4:48:26 PM   |     Distance: 5.579891    |   Participant Coords: (102.0, 1.7, -10.0)   |   Item Coord: (106.6, 0.0, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.486679 6.031433
Time: 3/8/2024 4:48:26 PM   |     Distance: 6.121259    |   Participant Coords: (102.0, 1.7, -10.0)   |   Item Coord: (107.3, 0.0, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.612671 5.849152
Time: 3/8/2024 4:48:29 PM   |     Distance: 0.4575033    |   Participant Coords: (82.4, 1.7, 28.9)   |   Item Coord: (82.8, 1.5, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 5.162033 5.49733
Time: 3/8/2024 4:48:29 PM   |     Distance: 0.462373    |   Participant Coords: (82.4, 1.7, 28.9)   |   Item Coord: (82.8, 1.5, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 5.201508 5.520599
Time: 3/8/2024 4:48:29 PM   |     Distance: 0.4583328    |   Participant Coords: (82.4, 1.7, 28.9)   |   Item Coord: (82.8, 1.5, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 5.18988 5.60202
Time: 3/8/2024 4:48:29 PM   |     Distance: 0.4646986    |   Participant Coords: (82.4, 1.7, 28.9)   |   Item Coord: (82.8, 1.4, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 5.175797 5.603653
Time: 3/8/2024 4:48:29 PM   |     Distance: 0.4694515    |   Participant Coords: (82.4, 1.7, 28.9)   |   Item Coord: (82.8, 1.4, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 5.150162 5.624252
Time: 3/8/2024 4:48:29 PM   |     Distance: 0.4693538    |   Participant Coords: (82.4, 1.7, 28.9)   |   Item Coord: (82.8, 1.4, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 5.319778 5.700043
Time: 3/8/2024 4:48:29 PM   |     Distance: 0.4623339    |   Participant Coords: (82.4, 1.7, 28.9)   |   Item Coord: (82.8, 1.4, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 5.330658 5.704163
Time: 3/8/2024 4:48:29 PM   |     Distance: 0.4433141    |   Participant Coords: (82.4, 1.7, 28.9)   |   Item Coord: (82.8, 1.4, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 5.398544 5.646057
Time: 3/8/2024 4:48:29 PM   |     Distance: 0.4675053    |   Participant Coords: (82.4, 1.7, 28.9)   |   Item Coord: (82.8, 1.4, 29.1)   |  Item: w2  |   Pupil Size (Left, right): 5.500977 5.648529
Time: 3/8/2024 4:48:29 PM   |     Distance: 0.6827148    |   Participant Coords: (82.4, 1.7, 28.9)   |   Item Coord: (82.8, 1.2, 29.3)   |  Item: w2  |   Pupil Size (Left, right): 5.171188 5.624863
Time: 3/8/2024 4:48:29 PM   |     Distance: 0.8526025    |   Participant Coords: (82.4, 1.6, 28.9)   |   Item Coord: (82.8, 1.0, 29.4)   |  Item: w2  |   Pupil Size (Left, right): 4.867325 5.684357
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.214904    |   Participant Coords: (82.4, 1.6, 29.0)   |   Item Coord: (82.8, 0.6, 29.5)   |  Item: w2  |   Pupil Size (Left, right): 4.741852 5.563309
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.792343    |   Participant Coords: (82.4, 1.6, 29.0)   |   Item Coord: (82.7, 0.1, 29.7)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.831924 5.614731
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.71429    |   Participant Coords: (82.4, 1.6, 29.0)   |   Item Coord: (82.5, 0.1, 29.6)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.128357 5.630066
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.664337    |   Participant Coords: (82.4, 1.6, 29.0)   |   Item Coord: (82.3, 0.1, 29.5)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.266113 5.643356
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.630214    |   Participant Coords: (82.4, 1.6, 29.0)   |   Item Coord: (82.2, 0.1, 29.4)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.295624 5.66684
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.617731    |   Participant Coords: (82.4, 1.6, 29.0)   |   Item Coord: (82.1, 0.1, 29.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.300491 5.692551
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.627058    |   Participant Coords: (82.4, 1.6, 29.0)   |   Item Coord: (82.0, 0.1, 29.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.271759 5.619797
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.615774    |   Participant Coords: (82.4, 1.6, 29.0)   |   Item Coord: (82.1, 0.1, 29.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.280914 5.492523
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.606636    |   Participant Coords: (82.3, 1.6, 29.0)   |   Item Coord: (82.1, 0.1, 29.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.254578 5.555328
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.601463    |   Participant Coords: (82.3, 1.6, 29.0)   |   Item Coord: (82.1, 0.1, 29.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.359375 5.725723
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.593415    |   Participant Coords: (82.3, 1.6, 29.0)   |   Item Coord: (82.1, 0.1, 29.4)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.301224 5.695648
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.585471    |   Participant Coords: (82.3, 1.6, 29.0)   |   Item Coord: (82.1, 0.1, 29.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.302704 5.632446
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.58708    |   Participant Coords: (82.3, 1.6, 29.0)   |   Item Coord: (82.2, 0.1, 29.4)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.411499 5.775269
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.609716    |   Participant Coords: (82.3, 1.6, 29.0)   |   Item Coord: (82.2, 0.1, 29.5)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.323105 5.789581
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.618083    |   Participant Coords: (82.3, 1.6, 29.0)   |   Item Coord: (82.3, 0.1, 29.5)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.377014 5.866119
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.629861    |   Participant Coords: (82.3, 1.6, 29.0)   |   Item Coord: (82.3, 0.1, 29.5)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.436127 5.879486
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.643336    |   Participant Coords: (82.2, 1.6, 29.0)   |   Item Coord: (82.3, 0.1, 29.6)   |  Item: Floor 1  |   Pupil Size (Left, right): 5.373627 5.855194
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.460004    |   Participant Coords: (82.2, 1.6, 29.0)   |   Item Coord: (82.5, 0.4, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 5.516068 6.038437
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.183125    |   Participant Coords: (82.2, 1.6, 29.0)   |   Item Coord: (82.5, 0.7, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 5.504486 6.014282
Time: 3/8/2024 4:48:29 PM   |     Distance: 1.059451    |   Participant Coords: (82.3, 1.6, 29.0)   |   Item Coord: (82.5, 0.9, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 5.523209 5.981339
Time: 3/8/2024 4:48:29 PM   |     Distance: 0.9583862    |   Participant Coords: (82.2, 1.6, 29.0)   |   Item Coord: (82.4, 1.0, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 5.409424 5.873245
Time: 3/8/2024 4:48:29 PM   |     Distance: 0.9325341    |   Participant Coords: (82.2, 1.6, 29.0)   |   Item Coord: (82.3, 1.1, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 5.384354 5.952881
Time: 3/8/2024 4:48:29 PM   |     Distance: 0.9562421    |   Participant Coords: (82.2, 1.6, 29.0)   |   Item Coord: (82.2, 1.0, 29.8)   |  Item: w3  |   Pupil Size (Left, right): 5.370728 5.626999
