Starting Experiment now at 3/8/2024 11:23:30 AM

Time: 3/8/2024 11:23:57 AM   |     Distance: 19.46477    |   Participant Coords: (100.9, 1.7, -10.0)   |   Item Coord: (87.6, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.556976 5.997299
Time: 3/8/2024 11:23:57 AM   |     Distance: 8.717073    |   Participant Coords: (100.9, 1.7, -10.0)   |   Item Coord: (94.1, 0.1, -4.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.294708 6.331543
Time: 3/8/2024 11:23:57 AM   |     Distance: 23.67778    |   Participant Coords: (100.9, 1.7, -10.0)   |   Item Coord: (83.1, 0.0, 5.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.710999 5.261215
Time: 3/8/2024 11:23:57 AM   |     Distance: 19.4535    |   Participant Coords: (100.9, 1.7, -10.0)   |   Item Coord: (86.5, 0.0, 3.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.807358 6.03392
Time: 3/8/2024 11:23:57 AM   |     Distance: 24.17496    |   Participant Coords: (100.9, 1.7, -9.9)   |   Item Coord: (83.5, 0.0, 6.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.771164 5.414429
Time: 3/8/2024 11:23:57 AM   |     Distance: 17.74202    |   Participant Coords: (100.9, 1.7, -9.9)   |   Item Coord: (88.1, 0.0, 2.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.847778 5.874725
Time: 3/8/2024 11:23:57 AM   |     Distance: 16.67505    |   Participant Coords: (100.9, 1.7, -9.9)   |   Item Coord: (88.7, 0.0, 1.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.771194 6.394287
Time: 3/8/2024 11:23:57 AM   |     Distance: 17.03912    |   Participant Coords: (100.9, 1.7, -9.9)   |   Item Coord: (88.0, 0.0, 1.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.702209 5.82843
Time: 3/8/2024 11:23:58 AM   |     Distance: 17.09716    |   Participant Coords: (100.9, 1.7, -9.8)   |   Item Coord: (87.9, 0.0, 1.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.749451 5.340759
Time: 3/8/2024 11:23:58 AM   |     Distance: 20.8206    |   Participant Coords: (100.8, 1.7, -9.8)   |   Item Coord: (84.8, 0.0, 3.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.402847 6.290543
Time: 3/8/2024 11:23:58 AM   |     Distance: 19.68334    |   Participant Coords: (100.8, 1.7, -9.8)   |   Item Coord: (86.1, 0.0, 3.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.750931 6.296661
Time: 3/8/2024 11:23:58 AM   |     Distance: 20.00423    |   Participant Coords: (100.8, 1.7, -9.8)   |   Item Coord: (85.8, 0.0, 3.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.660248 6.299393
Time: 3/8/2024 11:23:58 AM   |     Distance: 16.30042    |   Participant Coords: (100.8, 1.7, -9.8)   |   Item Coord: (88.6, 0.0, 0.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.715714 5.969254
Time: 3/8/2024 11:23:58 AM   |     Distance: 16.82232    |   Participant Coords: (100.8, 1.7, -9.7)   |   Item Coord: (87.9, 0.0, 0.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.712067 5.281067
Time: 3/8/2024 11:23:58 AM   |     Distance: 16.96266    |   Participant Coords: (100.8, 1.7, -9.7)   |   Item Coord: (87.8, 0.0, 1.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.759018 6.59584
Time: 3/8/2024 11:23:58 AM   |     Distance: 18.60985    |   Participant Coords: (100.8, 1.7, -9.7)   |   Item Coord: (88.3, 1.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.784958 6.259857
Time: 3/8/2024 11:23:58 AM   |     Distance: 15.38487    |   Participant Coords: (100.8, 1.7, -9.7)   |   Item Coord: (89.1, 0.1, 0.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.820282 6.396469
Time: 3/8/2024 11:23:58 AM   |     Distance: 18.86724    |   Participant Coords: (100.7, 1.7, -9.6)   |   Item Coord: (87.9, 2.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.740814 6.568039
Time: 3/8/2024 11:23:58 AM   |     Distance: 15.22753    |   Participant Coords: (100.7, 1.7, -9.6)   |   Item Coord: (89.0, 0.1, 0.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.731094 6.33699
Time: 3/8/2024 11:23:58 AM   |     Distance: 19.1723    |   Participant Coords: (100.7, 1.7, -9.6)   |   Item Coord: (87.4, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.979309 6.370102
Time: 3/8/2024 11:23:58 AM   |     Distance: 19.10161    |   Participant Coords: (100.7, 1.7, -9.6)   |   Item Coord: (86.2, 0.1, 2.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.924255 5.725403
Time: 3/8/2024 11:23:58 AM   |     Distance: 21.9387    |   Participant Coords: (100.7, 1.7, -9.6)   |   Item Coord: (83.8, 0.0, 4.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 6.140045 6.417358
Time: 3/8/2024 11:23:58 AM   |     Distance: 23.88728    |   Participant Coords: (100.7, 1.7, -9.6)   |   Item Coord: (82.9, 1.3, 6.3)   |  Item: w2  |   Pupil Size (Left, right): 6.043182 6.61969
Time: 3/8/2024 11:23:58 AM   |     Distance: 9.543521    |   Participant Coords: (100.7, 1.7, -9.6)   |   Item Coord: (94.0, 0.1, -3.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 6.718613 5.991516
Time: 3/8/2024 11:23:58 AM   |     Distance: 22.14627    |   Participant Coords: (100.6, 1.7, -9.6)   |   Item Coord: (84.2, 0.0, 5.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 6.18222 5.901352
Time: 3/8/2024 11:23:58 AM   |     Distance: 24.53448    |   Participant Coords: (100.6, 1.7, -9.6)   |   Item Coord: (82.9, 2.2, 7.3)   |  Item: w2  |   Pupil Size (Left, right): 6.089249 6.591324
Time: 3/8/2024 11:23:58 AM   |     Distance: 22.79434    |   Participant Coords: (100.6, 1.7, -9.6)   |   Item Coord: (82.8, 0.2, 4.6)   |  Item: w2  |   Pupil Size (Left, right): 6.136734 6.728439
Time: 3/8/2024 11:23:58 AM   |     Distance: 15.16835    |   Participant Coords: (100.6, 1.7, -9.6)   |   Item Coord: (89.5, 0.1, 0.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 6.01416 6.090927
Time: 3/8/2024 11:23:58 AM   |     Distance: 24.70371    |   Participant Coords: (100.7, 1.7, -9.5)   |   Item Coord: (82.9, 0.9, 7.6)   |  Item: w2  |   Pupil Size (Left, right): 5.968399 6.539444
Time: 3/8/2024 11:23:58 AM   |     Distance: 15.62948    |   Participant Coords: (100.7, 1.7, -9.5)   |   Item Coord: (88.7, 0.1, 0.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.921509 6.591049
Time: 3/8/2024 11:23:58 AM   |     Distance: 19.14371    |   Participant Coords: (100.6, 1.7, -9.5)   |   Item Coord: (87.3, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.769028 6.375519
Time: 3/8/2024 11:23:58 AM   |     Distance: 10.98577    |   Participant Coords: (100.6, 1.7, -9.5)   |   Item Coord: (92.8, 0.1, -2.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.793121 6.206299
Time: 3/8/2024 11:23:58 AM   |     Distance: 17.27715    |   Participant Coords: (100.6, 1.7, -9.5)   |   Item Coord: (90.1, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.742416 6.141418
Time: 3/8/2024 11:23:58 AM   |     Distance: 9.738106    |   Participant Coords: (100.6, 1.7, -9.5)   |   Item Coord: (94.2, 0.1, -2.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.769531 6.290665
