Starting Experiment now at 3/8/2024 4:11:28 PM

Time: 3/8/2024 4:11:43 PM   |     Distance: 8.328548    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.5, 0.1, -1.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.38945 4.808807
Time: 3/8/2024 4:11:43 PM   |     Distance: 8.426998    |   Participant Coords: (100.0, 1.7, -10.0)   |   Item Coord: (98.3, 0.1, -1.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.363419 4.753738
Time: 3/8/2024 4:11:43 PM   |     Distance: 8.349048    |   Participant Coords: (100.0, 1.7, -10.0)   |   Item Coord: (98.3, 0.1, -1.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.337311 4.729446
Time: 3/8/2024 4:11:43 PM   |     Distance: 8.177849    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.5, 0.1, -2.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.301468 4.715958
Time: 3/8/2024 4:11:43 PM   |     Distance: 8.010431    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.9, 0.1, -2.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.220734 4.715363
Time: 3/8/2024 4:11:43 PM   |     Distance: 5.674848    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (99.3, 0.1, -4.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 3.940872 4.615631
Time: 3/8/2024 4:11:43 PM   |     Distance: 4.117051    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (99.5, 0.1, -6.2)   |  Item: Main_floor  |   Pupil Size (Left, right): -1 4.498993
Time: 3/8/2024 4:11:49 PM   |     Distance: 22.48942    |   Participant Coords: (99.2, 1.7, -9.7)   |   Item Coord: (121.5, 0.1, -7.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.215332 6.023911
Time: 3/8/2024 4:11:56 PM   |     Distance: 20.07909    |   Participant Coords: (99.2, 1.7, -9.7)   |   Item Coord: (118.7, 0.1, -5.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.354126 5.774506
Time: 3/8/2024 4:11:56 PM   |     Distance: 18.5871    |   Participant Coords: (99.2, 1.7, -9.7)   |   Item Coord: (117.4, 0.1, -6.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.296799 6.161316
