Starting Experiment now at 3/8/2024 12:14:24 PM

Time: 3/8/2024 12:14:42 PM   |     Distance: 11.69671    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (101.3, 0.0, 1.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.814117 6.040039
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.08381    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (101.4, 0.0, 1.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.845642 5.955338
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.78152    |   Participant Coords: (99.9, 1.7, -10.2)   |   Item Coord: (101.3, 0.0, 1.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.782715 6.032532
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.62123    |   Participant Coords: (99.9, 1.7, -10.1)   |   Item Coord: (101.5, 0.0, 2.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.8414 5.917023
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.54766    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (101.6, 0.0, 2.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.951874 5.89856
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.7955    |   Participant Coords: (99.9, 1.7, -10.1)   |   Item Coord: (101.5, 0.0, 2.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.916428 5.893661
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.58538    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (101.5, 0.0, 2.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.955994 5.893555
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.30898    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (101.7, 0.0, 1.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.757736 5.918655
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.34165    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (101.4, 0.0, 1.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.75177 5.990723
Time: 3/8/2024 12:14:42 PM   |     Distance: 14.07056    |   Participant Coords: (99.9, 1.7, -10.1)   |   Item Coord: (102.6, 0.0, 3.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.792694 5.945618
